ID;text;label
1;Регулярный платёж списался частично, остаток висит «к исполнению».;PAYMENT_OUT_FAIL
2;задержка по кэшбэку уже 9 рабочих дней когда начислят;INCOMING_DELAY
3;Face ID крутится и возвращает на экран логина. Пароль верный.;APP_LOGIN
4;аналитика расходов крутится бесконечно данных не видно;APP_TECH
5;звонили представились банком просили код ничего не говорил но тревожно;FRAUD_SUSPECTED
6;пополнение внешнего кошелька отменено код mcc запрещен можно ли временно разрешить;PAYMENT_OUT_FAIL
7;срок карты истёк перевыпуск задерживается онлайн-оплаты не проходят;CARD_ISSUE
8;виджет баланса показывает ноль при открытии сумма другая;APP_TECH
9;в истории операция из другого города устройство мне не знакомо;FRAUD_SUSPECTED
10;после апдейта 13.0 главный экран пустой баланс не грузится;APP_TECH
11;пополнение брокера rejected по правилам банка почему;PAYMENT_OUT_FAIL
12;ограничение на исходящие и входящие прошу разъяснить;ACCOUNT_SEIZED
13;перевод внутри банка с карты на счет возвращается ошибка операция запрещена;PAYMENT_OUT_FAIL
14;nfc не срабатывает терминал просит вставить магнитная работает;CARD_ISSUE
15;онлайн-оплата не проходит пишет карта неактивна;CARD_ISSUE
16;ИНН вводится но система пишет невалидный формат;KYC_VERIFICATION
17;оплата в ecommerce не прошла 3d secure не показался;PAYMENT_OUT_FAIL
18;верификация отклонена причина «некорректный документ» фото чёткое;KYC_VERIFICATION
19;выплата страховой переносится третий день нет денег;INCOMING_DELAY
20;частичный возврат есть второй не пришел пять дней;INCOMING_DELAY
21;банкомат пишет лимит исчерпан но лимит не выбран;CARD_ISSUE
22;перевод на номер ушёл не на того однофамилец как отменить;PAYMENT_OUT_FAIL
23;карта заблокирована из-за подозрительной операции как снять блокировку;CARD_ISSUE
24;оформился пробный период а списали полную стоимость;FRAUD_SUSPECTED
25;не удается сменить пин приложение пишет операция отклонена;CARD_ISSUE
26;платежный календарь показывает неверные даты списаний;APP_TECH
27;СБП: у получателя другой банк, система пишет превышен лимит получателя;PAYMENT_OUT_FAIL
28;смена PIN не сохраняется «операция отклонена»;CARD_ISSUE
29;зарплатный реестр прошел у коллег деньги есть у меня нет;INCOMING_DELAY
30;вошел один раз после этого пишет сессия истекла и больше не пускает;APP_LOGIN
31;уведомления о списаниях пропали настройки включены;APP_TECH
32;карта на карту отклонена банк получателя недоступен;PAYMENT_OUT_FAIL
33;ошибка 504 при переходе в каталог платежей;APP_TECH
34;письмо подтверждения почты приходит без рабочей ссылки;APP_LOGIN
35;блокировка по 115 фз операции остановлены прошу список документов;ACCOUNT_SEIZED
36;при сохранении шаблона платежа пишет unexpected error 500;APP_TECH
37;push включены в настройках но подтверждения входа не приходят;APP_LOGIN
38;аккаунт помечен службой безопасности куда загружать объяснения;ACCOUNT_SEIZED
39;оплата подписки не прошла в истории холд висит деньги не вернулись;PAYMENT_OUT_FAIL
40;гражданство сменилось отправил документы но статус не обновляется;KYC_VERIFICATION
41;карта отображается как виртуальная хотя это физическая из-за этого отказы;CARD_ISSUE
42;магическая ссылка на почту открывается, но приложение не авторизует;APP_LOGIN
43;карта потеряна пытаюсь заблокировать вечная загрузка помогите;CARD_ISSUE
44;после перевыпуска карта не активируется номер недоступен;CARD_ISSUE
45;перевёл по qr знакомому оказался мошенник можно ли остановить;FRAUD_SUSPECTED
46;Оплата коммуналки проваливается вечером, утром проходит. Сейчас снова не проходит.;PAYMENT_OUT_FAIL
47;партнер отправил промежуточный платеж статус «обрабатывается» вторые сутки;INCOMING_DELAY
48;ограничение без описания причины куда обращаться для разъяснений;ACCOUNT_SEIZED
49;история операций пустая хотя были движения вчера;APP_TECH
50;карта не привязывается к кошельку эмитент не поддерживает хотя раньше работало;CARD_ISSUE
51;cvv не показывает приложение не могу оплатить услугу;CARD_ISSUE
52;поступление процентов по накопительному счёту задерживается;INCOMING_DELAY
53;после обновления 12.5 вылетает при открытии раздела платежи;APP_TECH
54;входящие блокируются из-за ограничений нужно платить подрядчикам;ACCOUNT_SEIZED
55;SEPA поступление обычно на следующий день, прошло двое суток — денег нет.;INCOMING_DELAY
56;пополнение брокерского счета отклонено по правилам банка;PAYMENT_OUT_FAIL
57;срок действия истёк перевыпуск задерживается онлайн-платежи не идут;CARD_ISSUE
58;перешел по письму подтвердите аккаунт ввел данные проверьте доступ;FRAUD_SUSPECTED
59;анкета зависает на последнем шаге крутится без конца;KYC_VERIFICATION
60;оплата подписки не проходит пишет превышен лимит в приложении лимит не выбран;PAYMENT_OUT_FAIL
61;кнопка войти не активна хотя все поля заполнены;APP_LOGIN
62;документы загрузил ответ пришёл «недостаточно» перечислите что ещё нужно;ACCOUNT_SEIZED
63;в телеграме прислали ссылку похожую на банк я ввел логин и пароль;FRAUD_SUSPECTED
64;ошибка 3d secure страница не загружается платеж отменен;PAYMENT_OUT_FAIL
65;арест дублируется на двух счетах один уже оплачен снимите повторно;ACCOUNT_SEIZED
66;Оплата в интернет-магазине: страница 3-D Secure не загружается, платёж отменяется.;PAYMENT_OUT_FAIL
67;инн формат верный система ругается невалидный;KYC_VERIFICATION
68;поле комментария обрезает текст после 40–50 символов;APP_TECH
69;код из смс приходит с опозданием 10 минут не успеваю подтвердить вход;APP_LOGIN
70;При входе через Face ID крутится загрузка и возвращает на экран логина.;APP_TECH
71;двухфакторная включена а пуши не приходят почта пустая помочь войти;APP_LOGIN
72;на экране логина кружок загрузки и возвращает назад без ошибки;APP_LOGIN
73;лимиты изменились без меня подозреваю взлом;FRAUD_SUSPECTED
74;не могу войти через номер телефона пишет учетная запись не найдена;APP_LOGIN
75;забыл пин от приложения кнопка восстановить не активна что делать;APP_LOGIN
76;в приложении вижу вход с неизвестного устройства закройте доступ;FRAUD_SUSPECTED
77;блокировка по комплаенсу операции остановлены прошу объяснить причины;ACCOUNT_SEIZED
78;раздел аналитика расходов крутит и ничего не показывает;APP_TECH
79;Возврат налога статус «отправлено в банк» третьи сутки тишина;INCOMING_DELAY
80;Выписка показывает покупку ночью в зарубежном магазине, в это время я спал. Оспорьте.;FRAUD_SUSPECTED
81;просит подтвердить источник средств куда загрузить справки;KYC_VERIFICATION
82;операция запрещена даже внутри банка это из-за ареста;ACCOUNT_SEIZED
83;покупка через кошелёк прошла дважды чек один;FRAUD_SUSPECTED
84;требует подтвердить источник средств куда прикрепить справки о доходах;KYC_VERIFICATION
85;сброс пароля по ссылке 500 ошибка сервера;APP_LOGIN
86;статус kyc отклонено без пояснений как узнать причину;KYC_VERIFICATION
87;SWIFT USD в пути пятый день как отследить прохождение;INCOMING_DELAY
